"file","nb_read_pairs","sample_ID","tags"
"16SV4_revcomp/16S_F515DI2-16S_R806DI6.R1.fastq.gz",100650,"H_d5_r1","F2 R6"
"16SV4_revcomp/16S_F515DI2-16S_R806DI7.R1.fastq.gz",149043,"D_d4_r3","F2 R7"
"16SV4_revcomp/16S_F515DI2-16S_R806DI8.R1.fastq.gz",143150,"H_d4_r1","F2 R8"
"16SV4_revcomp/16S_F515DI2-16S_R806DI9.R1.fastq.gz",60691,"D_d3_r2","F2 R9"
"16SV4_revcomp/16S_F515DI3-16S_R806DI10.R1.fastq.gz",93934,"D1H_d3_r2","F3 R10"
"16SV4_revcomp/16S_F515DI3-16S_R806DI11.R1.fastq.gz",157157,"H_d1_r1","F3 R11"
"16SV4_revcomp/16S_F515DI3-16S_R806DI12.R1.fastq.gz",143926,"D1H_d3_r1","F3 R12"
"16SV4_revcomp/16S_F515DI3-16S_R806DI1.R1.fastq.gz",98970,"H_d4_r4","F3 R1"
"16SV4_revcomp/16S_F515DI3-16S_R806DI2.R1.fastq.gz",37281,"HD_d3_r4","F3 R2"
"16SV4_revcomp/16S_F515DI3-16S_R806DI3.R1.fastq.gz",7107,"unused_tags_3","F3 R3"
"16SV4_revcomp/16S_F515DI3-16S_R806DI4.R1.fastq.gz",4000,"Tn_extr_2","F3 R4"
"16SV4_revcomp/16S_F515DI3-16S_R806DI5.R1.fastq.gz",32713,"D10H_d2_r3","F3 R5"
"16SV4_revcomp/16S_F515DI3-16S_R806DI6.R1.fastq.gz",86563,"D10H_d4_r2","F3 R6"
"16SV4_revcomp/16S_F515DI3-16S_R806DI7.R1.fastq.gz",7376,"NI_d7","F3 R7"
"16SV4_revcomp/16S_F515DI3-16S_R806DI8.R1.fastq.gz",17441,"HD_d2_r2","F3 R8"
"16SV4_revcomp/16S_F515DI3-16S_R806DI9.R1.fastq.gz",135921,"D1H_d5_r3","F3 R9"
"16SV4_revcomp/16S_F515DI4-16S_R806DI10.R1.fastq.gz",47428,"D20H_d3_r1","F4 R10"
"16SV4_revcomp/16S_F515DI4-16S_R806DI11.R1.fastq.gz",51809,"D1H_d4_r3","F4 R11"
"16SV4_revcomp/16S_F515DI4-16S_R806DI12.R1.fastq.gz",2840,"unused_tags_12","F4 R12"
"16SV4_revcomp/16S_F515DI4-16S_R806DI1.R1.fastq.gz",57691,"D20H_d1_r3","F4 R1"
"16SV4_revcomp/16S_F515DI4-16S_R806DI2.R1.fastq.gz",59577,"D10H_d4_r3","F4 R2"
"16SV4_revcomp/16S_F515DI4-16S_R806DI3.R1.fastq.gz",60751,"D20H_d4_r4","F4 R3"
"16SV4_revcomp/16S_F515DI4-16S_R806DI4.R1.fastq.gz",2349,"unused_tags_4","F4 R4"
"16SV4_revcomp/16S_F515DI4-16S_R806DI5.R1.fastq.gz",66733,"H_d4_r5","F4 R5"
"16SV4_revcomp/16S_F515DI4-16S_R806DI6.R1.fastq.gz",47043,"HD_d4_r2","F4 R6"
"16SV4_revcomp/16S_F515DI4-16S_R806DI7.R1.fastq.gz",47751,"D20H_d4_r1","F4 R7"
"16SV4_revcomp/16S_F515DI4-16S_R806DI8.R1.fastq.gz",8282,"tn_extr_2","F4 R8"
"16SV4_revcomp/16S_F515DI4-16S_R806DI9.R1.fastq.gz",69591,"D_d2_r4","F4 R9"
"16SV4_revcomp/16S_F515DI5-16S_R806DI10.R1.fastq.gz",113374,"D_d1_r3","F5 R10"
"16SV4_revcomp/16S_F515DI5-16S_R806DI11.R1.fastq.gz",16898,"unused_tags_11","F5 R11"
"16SV4_revcomp/16S_F515DI5-16S_R806DI12.R1.fastq.gz",154868,"D_d5_r3","F5 R12"
"16SV4_revcomp/16S_F515DI5-16S_R806DI1.R1.fastq.gz",48413,"D_d3_r4","F5 R1"
"16SV4_revcomp/16S_F515DI5-16S_R806DI2.R1.fastq.gz",146068,"H_d2_r2","F5 R2"
"16SV4_revcomp/16S_F515DI5-16S_R806DI3.R1.fastq.gz",140057,"D10H_d4_r4","F5 R3"
"16SV4_revcomp/16S_F515DI5-16S_R806DI4.R1.fastq.gz",72870,"D10H_d1_r1","F5 R4"
"16SV4_revcomp/16S_F515DI5-16S_R806DI5.R1.fastq.gz",12738,"unused_tags_5","F5 R5"
"16SV4_revcomp/16S_F515DI5-16S_R806DI6.R1.fastq.gz",106398,"D1H_d2_r1","F5 R6"
"16SV4_revcomp/16S_F515DI5-16S_R806DI7.R1.fastq.gz",137469,"D10H_d1_r2","F5 R7"
"16SV4_revcomp/16S_F515DI5-16S_R806DI8.R1.fastq.gz",120929,"D20H_d2_r4","F5 R8"
"16SV4_revcomp/16S_F515DI5-16S_R806DI9.R1.fastq.gz",163936,"D1H_d2_r3","F5 R9"
"16SV4_revcomp/16S_F515DI6-16S_R806DI10.R1.fastq.gz",7139,"unused_tags_10","F6 R10"
"16SV4_revcomp/16S_F515DI6-16S_R806DI11.R1.fastq.gz",138605,"H_d4_r2","F6 R11"
"16SV4_revcomp/16S_F515DI6-16S_R806DI12.R1.fastq.gz",120800,"HD_d5_r3","F6 R12"
"16SV4_revcomp/16S_F515DI6-16S_R806DI1.R1.fastq.gz",106650,"D10H_d5_r5","F6 R1"
"16SV4_revcomp/16S_F515DI6-16S_R806DI2.R1.fastq.gz",117976,"D20H_d3_r5","F6 R2"
"16SV4_revcomp/16S_F515DI6-16S_R806DI3.R1.fastq.gz",130706,"H_d5_r2","F6 R3"
"16SV4_revcomp/16S_F515DI6-16S_R806DI4.R1.fastq.gz",37346,"Tn_extr_1","F6 R4"
"16SV4_revcomp/16S_F515DI6-16S_R806DI5.R1.fastq.gz",93692,"D_d2_r5","F6 R5"
"16SV4_revcomp/16S_F515DI6-16S_R806DI6.R1.fastq.gz",4560,"unused_tags_6","F6 R6"
"16SV4_revcomp/16S_F515DI6-16S_R806DI7.R1.fastq.gz",98829,"H_d2_r1","F6 R7"
"16SV4_revcomp/16S_F515DI6-16S_R806DI8.R1.fastq.gz",128771,"D10H_d1_r3","F6 R8"
"16SV4_revcomp/16S_F515DI6-16S_R806DI9.R1.fastq.gz",18758,"D10H_d4_r5","F6 R9"
